Date,S&P Comp,Dividend,Earnings,GS10
1922.09,9.06,0.5,0.59,4.34
1922.1,9.26,0.5,0.62,4.35
1922.11,8.8,0.51,0.66,4.35
1922.12,8.78,0.51,0.69,4.36
1923.01,8.9,0.51,0.71,4.36
1923.02,9.28,0.51,0.74,4.34
1923.03,9.43,0.52,0.76,4.31
1923.04,9.1,0.52,0.79,4.29
1923.05,8.67,0.52,0.81,4.26
1923.06,8.34,0.52,0.84,4.24
1923.07,8.06,0.52,0.86,4.21
1923.08,8.1,0.52,0.88,4.19
1923.09,8.15,0.53,0.91,4.16
1923.1,8.03,0.53,0.93,4.14
1923.11,8.27,0.53,0.96,4.11
1923.12,8.55,0.53,0.98,4.09
1924.01,8.83,0.53,0.98,4.06
1924.02,8.87,0.53,0.97,4.04
1924.03,8.7,0.54,0.97,4.03
1924.04,8.5,0.54,0.96,4.01
1924.05,8.47,0.54,0.96,3.99
1924.06,8.63,0.54,0.96,3.98
1924.07,9.03,0.54,0.95,3.96
1924.08,9.34,0.54,0.95,3.94
1924.09,9.25,0.55,0.94,3.93
1924.1,9.13,0.55,0.94,3.91
1924.11,9.64,0.55,0.93,3.89
1924.12,10.16,0.55,0.93,3.88
1925.01,10.58,0.55,0.96,3.86
1925.02,10.67,0.56,0.98,3.85
1925.03,10.39,0.56,1.01,3.83
1925.04,10.28,0.57,1.04,3.82
1925.05,10.61,0.57,1.06,3.8
1925.06,10.8,0.58,1.09,3.79
1925.07,11.1,0.58,1.12,3.77
1925.08,11.25,0.58,1.14,3.76
1925.09,11.51,0.59,1.17,3.74
1925.1,11.89,0.59,1.2,3.73
1925.11,12.26,0.6,1.22,3.71
1925.12,12.46,0.6,1.25,3.7
1926.01,12.65,0.61,1.25,3.68
1926.02,12.67,0.62,1.25,3.65
